Cod. Art.,Descrizione,Classe Merc.,Giacenza,PPC,Nè1R
000002,Pulisci Orecchie,100-002 Igiene personale,1,"11,2",
000003,Rosenthal Vasi Profumati per l'ambiente,040-002 Arredamento e oggettistica,1,"17,5",
000004,Rosenthal mini Vaso mod. plissè,040-002 Arredamento e oggettistica,1,"17,5",
000005,Sato Corporation Th208 Usb(EX2),030-009 Stampanti e cartucce,2,448,
000006,Monitor colori TFT  VDO A2C59517754,030-008 Desktop e monitor,6,210,
000007,Fotocamera Posteriore VDO A2C59517750,030-002 Foto e videocamere,5,168,
000008,Cavo Cablato per sistema VDO A2C59517752,030-006 Accessori elettronica,6,42,
000009,Speakers VDO 051-018-011,030-004 Audio e Hi-Fi,2,"36,4",
000010,Scheda Zotac per la grafica PC Geforce GTX 680,030-006 Accessori elettronica,1,210,
000012,Sistema di allarme,030-006 Accessori elettronica,1,28,
000017,Magnetotermico elettrico per quadro comando da parete,030-006 Accessori elettronica,2,"16,8",
000019,Modem Wi-Fi Tiscali ADSL,030-001 Telefonia,1,28,
000020,Modem Tiscali DSL / Fibra Wi-Fi,030-001 Telefonia,1,28,
000021,Service Panel Eurotech Wenco Mod. Sys 0495-00,030-006 Accessori elettronica,4,70,
000022,Car MP3 Player Stereo Auto,080-001 Accessori auto,6,14,
000023,Cassa Audica da parete,030-004 Audio e Hi-Fi,1,35,
000026,Sonicision Convidien SCST1,100-001 Prodotti sanitari,1,19600,
000027,Convidien CBC Battery Charger,100-001 Prodotti sanitari,1,6300,
000028,Convidien Sonicision Battery Pack SC,100-001 Prodotti sanitari,1,420,
000031,Modem Fast.Gate TG789vac,030-001 Telefonia,1,63,
000032,Modem Fibra Tim,030-001 Telefonia,1,21,
000034,Lampada per le Unghie Uv Gel GRUV Nail,100-005 Salute e cura della persona,2,21,
000036,Adattatore VGA passivo,030-006 Accessori elettronica,2,49,
000038,Pos per pagamenti SumUp Terminal,030-006 Accessori elettronica,1,21,
000039,Smart Modem Tim - **,030-001 Telefonia,2,35,
000043,Professional Tire Warner Racing Star,030-006 Accessori elettronica,1,70,
000045,Router Modem TP-Link TD-W8961ND,030-001 Telefonia,1,14,
000046,Base con cornetta per smartphone,030-001 Telefonia,1,"11,2",
000047,TV StandbyStop telecomando Sorgenia,030-006 Accessori elettronica,1,21,
000048,TP LINK Modem Router ADSL2+Wireless n 300Mbps,030-001 Telefonia,1,"25,2",
000049,TP LINK The Reliable Choice 300Mbps Wireless N Router,030-001 Telefonia,1,"16,8",
000051,Yealink Headset YHS32,030-001 Telefonia,1,21,
000052,Plantronics Entera HW111N,030-001 Telefonia,1,35,
000058,Bosch Caricabatteria per batterie al litio,030-006 Accessori elettronica,1,42,
000059,Fastweb Adsl Router TG582N,030-001 Telefonia,1,42,
000060,Thomson TG585 Wireless multi user,030-006 Accessori elettronica,2,"36,4",
000062,Borsa Da serbatoio magnetica,080-002 Accessori moto,1,"17,5",
000064,Borse Laterali paniers Bag Side Tour,080-002 Accessori moto,1,49,
000065,Plafoniera da parete,040-001 Illuminazione,4,7,
000067,Panasonic Sistema telefonico integrato,030-001 Telefonia,1,42,
000069,Router Eolo Fritz Wireless N,030-001 Telefonia,1,14,
000077,Monopoli,070-002 Giochi di società,1,14,
000091,Macchina da caffè,040-002 Arredamento e oggettistica,1,14,
000092,Bilancia pesapersona 5 €,040-002 Arredamento e oggettistica,1,7,
000098,Tim Vision HDMI Wi-Fi,030-003 TV e home cinema,1,7,
000100,Borsa per acqua calda elettrica,100-005 Salute e cura della persona,1,"11,2",
000101,TP-Link Injector,030-001 Telefonia,1,14,
000102,Modem Smart Tim Adsl e fibra,030-001 Telefonia,2,28,
000103,Elettrostimolatore muscolare,100-005 Salute e cura della persona,1,35,
000119,Cinghia per auto Dayco,080-001 Accessori auto,6,7,
000120,Prese Bipolari B-Ticino presa americana,030-006 Accessori elettronica,1,70,
000122,Batteria al litio per notebook HP,030-007 PC portatili e tablet,1,14,
000123,Cuscino ortopedico cervicale,040-002 Arredamento e oggettistica,1,14,
000124,Amplificatore per stereo auto CarPower,080-001 Accessori auto,1,56,
000126,Peluche elefantino,070-001 Giochi e giocattoli,8,7,
000127,Spazzolino elettrico,100-002 Igiene personale,5,7,
000131,Lampade Philips H1 per fari auto,080-001 Accessori auto,10,"2,8",
000135,Albero motore per modellismo,030-006 Accessori elettronica,1,28,
000137,Camera d'aria per mounttain bike,090-001 Ciclismo,2,"2,8",
000138,Coppia pedali per bicicletta,090-001 Ciclismo,1,"2,8",
000142,Filtro per la folletto Vorwerk,040-002 Arredamento e oggettistica,1,14,
000143,Radio comando per modellismo,070-001 Giochi e giocattoli,1,56,
000144,Electronic coin sorter SN. 0258190,030-006 Accessori elettronica,1,28,
000147,Ciabatta con adattatore per presa americana,030-006 Accessori elettronica,1,"18,2",
000148,Migrant antenna auto car stereo,080-001 Accessori auto,1,7,
000149,Ariete eco power 2797,050-002 Piccoli elettrodomestici,1,35,
000150,Sistema di lampade per fari auto Xenon Light,080-001 Accessori auto,2,21,
000156,Connettori Jack HIC,030-004 Audio e Hi-Fi,1,56,
000158,Cuscinetto a sfera per auto,080-001 Accessori auto,1,14,
000159,Kit di Parking Assist Control per auto,080-001 Accessori auto,1,84,
000160,Corpo incasso universale fimabox,040-003 Bagno e cucina,1,35,
000162,Coppia di pedali da bici,090-001 Ciclismo,2,14,
000164,Lampada da tavolo,040-001 Illuminazione,#N/A,7,
000166,Selfie stick 5 €,030-002 Foto e videocamere,4,7,
000167,Depilatore elettrico,100-005 Salute e cura della persona,1,28,
000190,Brother etichette multiuso nero su bianco,120-002 Ufficio,1,7,
000191,Rotolo etichette per spedizioni Dymo,120-002 Ufficio,1,14,
000196,Accessori  bici 1 €,090-001 Ciclismo,44,"1,4",
000198,Contenitore Dolium 30 lt,040-002 Arredamento e oggettistica,1,56,
000199,Lampada per unghie nail art,100-005 Salute e cura della persona,1,28,
000203,Flat schermo Tv,030-003 TV e home cinema,1,56,
000205,Cassetta per la posta,040-002 Arredamento e oggettistica,1,14,
000207,Stampante Kube II lottery,030-009 Stampanti e cartucce,1,98,
000212,Contabanconote Baijia,030-006 Accessori elettronica,1,210,
000215,Detergente per macchina da caffè,100-001 Prodotti sanitari,10,"4,2",
000220,Estrattore di succo Juice Art,050-001 Grandi elettrodomestici,1,63,
000223,Custodie per tablet varie,030-007 PC portatili e tablet,14,7,
000224,Custodia e tastiera per tablet/cellulare,030-007 PC portatili e tablet,8,7,
000226,Pellicola e vetrini  protettivi per tablet e smartphone,030-007 PC portatili e tablet,110,"2,8",
000228,Sony Wireless trasmettitore,030-004 Audio e Hi-Fi,1,14,
000229,Electric saving box,030-006 Accessori elettronica,7,7,
000230,Programmatore con timer da inserire in presa di corrente,030-006 Accessori elettronica,1,"5,6",
000232,Computer palmare CipherLabPBZ10060128,030-007 PC portatili e tablet,1,238,
000235,Caricabatteria per Pc Asus,030-007 PC portatili e tablet,1,7,
000238,Cavo USB,030-006 Accessori elettronica,87,"2,8",
000249,Stencil cappuccino - torta,040-002 Arredamento e oggettistica,#N/A,"2,8",
000253,Spugnette per lavare le pentole,040-002 Arredamento e oggettistica,1,"1,4",
000255,Pratin spugnette multiuso,040-003 Bagno e cucina,5,"1,4",
000260,Padella antiaderente,040-002 Arredamento e oggettistica,1,"2,8",
000262,Buste di coriandoli,070-001 Giochi e giocattoli,550,"1,4",
000269,Vaso/portavaso per piante o fiori,040-006 Giardino e giardinaggio,1,"1,4",
000277,Giotto pastelli a colori,120-001 Scuola,1,"1,4",
000280,Beauty Case,100-004 Cosmetici,3,"4,2",
000282,Orologio da polso 5 €,040-002 Arredamento e oggettistica,1,7,
000295,Tovagliette sottopiatto,040-002 Arredamento e oggettistica,3,"1,4",
000297,Astuccio,120-001 Scuola,42,"1,4",
000310,MontBlanc Penna Oro Meirsterstuck,110-003 Gioielli e orologi,1,1400,
000313,Nzxt Case Vuoto per montaggio di PC,030-007 PC portatili e tablet,1,70,
000315,Samsung OfficeServ 7100 Server professionale,030-006 Accessori elettronica,1,140,
000316,Agilent Technologies Mod. N6701A,030-006 Accessori elettronica,1,3500,
000317,Techmade tastiera wireless,030-007 PC portatili e tablet,1,14,
000318,Cooler Master V550 semi modular,030-006 Accessori elettronica,1,84,
000319,"Physionics Fitness Steppboard S Aerobica,",090-002 Fitness e palestra,1,14,
000320,Paletta per torta Claluna fancy,040-002 Arredamento e oggettistica,1,"2,8",
000323,Mobile porta PC Mari Home,040-002 Arredamento e oggettistica,1,84,
000329,Scopa elettrica a vapore Acqua Laser,050-001 Grandi elettrodomestici,1,49,
000331,Finestra per camper Dometic S4,040-002 Arredamento e oggettistica,#N/A,140,
000335,Otutto telaio Inglesina passeggino per bambini,040-002 Arredamento e oggettistica,1,35,
000336,Brevi Lindo fasciatoio per bambino,100-001 Prodotti sanitari,1,63,
000339,Stokke Crusi passeggino completo per bambino,100-001 Prodotti sanitari,1,490,
000342,Panni polvere,040-002 Arredamento e oggettistica,1,"1,4",
000350,Puzzle 5 €,070-001 Giochi e giocattoli,12,7,
000356,Bambola 3 €,070-001 Giochi e giocattoli,1,"4,2",
000359,Chicco gioco fattoria parlante,070-093 Prima infanzia,1,14,
000360,Decoder mediaset premium Play,030-003 TV e home cinema,5,14,
000369,Doccetta Flexton Showers,040-003 Bagno e cucina,2,7,
000372,Monopattino personaggi Disney,070-001 Giochi e giocattoli,1,14,
000374,Peluche vari 2 €,070-001 Giochi e giocattoli,26,"2,8",
000377,Carte da gioco 3 €,070-002 Giochi di società,7,"4,2",
000382,Slip Bimbo Teddy Boy,110-001 Abbigliamento e scarpe,1,"1,4",
000383,Libri Vari 1 €,010-001 Libri,1186,"1,4",
000392,Portascopino bagno,100-003 Igiene per la casa,5,"4,2",
000398,Coprimaterasso Sanity 1 piazza o 2 piazze,040-002 Arredamento e oggettistica,1,7,
000402,Telo ombreggiante,040-002 Arredamento e oggettistica,1,"5,6",
000426,Spazzola per capelli,100-005 Salute e cura della persona,4,"2,8",
000440,Piatti/piattini bianchi 6 pz,040-002 Arredamento e oggettistica,1,"2,8",
000445,Cuscino senza fodera,040-002 Arredamento e oggettistica,1,"1,4",
000448,Passeggino recrinabile,040-002 Arredamento e oggettistica,1,28,
000458,Giocattoli vari 5 €,070-001 Giochi e giocattoli,19,7,
000465,Palettina in legno da cucina,040-002 Arredamento e oggettistica,1,"1,4",
000467,Set per fare la pasta in casa,040-002 Arredamento e oggettistica,1,7,
000474,Spugna/spazzola per igiene personale,100-002 Igiene personale,1,"1,4",
000478,Brocche in vetro 1 litro,040-002 Arredamento e oggettistica,2,7,
000484,Pastelli a cera,120-001 Scuola,2,"2,8",
000485,Matite colorate,120-001 Scuola,2,"2,8",
000497,Bavaglini prima infanzia,110-002 Accessori abbigliamento,2,"1,4",
000525,Piatto,040-002 Arredamento e oggettistica,2,"1,4",
000526,Cappelli Bimbo/a,110-002 Accessori abbigliamento,1,"2,8",
000527,Aroma diffusore,040-002 Arredamento e oggettistica,7,"2,8",
000529,Borsa porta Pc/tablet,120-002 Ufficio,1,"2,8",
000545,Melodica a fiato,070-001 Giochi e giocattoli,1,7,
000566,Set Bicchieri,040-002 Arredamento e oggettistica,1,7,
000567,Pentole e padelle di vario formato,040-002 Arredamento e oggettistica,1,"5,6",
000575,Porta sapone,040-002 Arredamento e oggettistica,3,7,
000582,Dial Vision occhiali per vedere da vicino e da lontalo,100-005 Salute e cura della persona,2,14,
000585,Supporto cellulare,080-001 Accessori auto,1,"4,2",
000589,Vaschette alluminio per alimenti,040-002 Arredamento e oggettistica,17,"0,7",
000591,Occhiali da sole 10 €,040-002 Arredamento e oggettistica,1,14,
000601,Sunrace pastiglie per freni 5s 14 28t,080-001 Accessori auto,1,"2,8",
000602,Xenon HID fuxion 600k luce bianca per auto,080-001 Accessori auto,45,"4,2",
000603,Pastiglie per i freni,080-001 Accessori auto,3,"4,2",
000604,Pedali per la bici in coppia,090-001 Ciclismo,2,"4,2",
